sweep,label,beta,m0,N,kappa,n_configs,acceptance,P_mean,P_err,cond_mean,cond_err,meff_mean,meff_err,C0,C1,C2,elapsed_min,outfile
D,Sweep D | beta=4.5 m0=0.05 N=6,4.5,0.05,6,0.1234567901234568,20,0.41652681327160496,0.3391088832696726,0.0006555489402993629,-23.98816139294456,0.000994660177008587,4.125811750686939,0.0035330172687844242,12.57507601836625,0.10351730932238583,0.00167220748335988,54.19987675348918,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_D_b4.5_m0.05_N6.txt
E,Sweep E | beta=4.5 m0=0.001 N=10,4.5,0.001,10,0.12496875781054735,10,0.41960061111111113,0.33957291578072657,0.0001933034423869589,-23.98742275189527,0.0006685710551175793,4.0975465932084685,0.003996097113511672,12.58953819493912,0.10675687295116883,0.0017737787213499036,181.51567265987396,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b4.5_m0.001_N10.txt
E,Sweep E | beta=4.5 m0=0.003 N=10,4.5,0.003,10,0.12490632025980514,10,0.4196475,0.3417466197241839,0.0004596029094115848,-23.987317360460274,0.0005902395278839417,4.085440361506721,0.0036166200188506815,12.591088387224179,0.10572291501396866,0.0017779743294680157,181.74866516192753,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b4.5_m0.003_N10.txt
E,Sweep E | beta=4.5 m0=0.002 N=10,4.5,0.002,10,0.12493753123438281,10,0.4193466111111111,0.33957254946993326,0.00020098776426555437,-23.987202004400352,0.0004701559618288821,4.107125685411414,0.0040852013146723196,12.589482764663881,0.106267501817133,0.0017488902327768673,182.0111837387085,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b4.5_m0.002_N10.txt
E,Sweep E | beta=4.5 m0=0.005 N=10,4.5,0.005,10,0.12484394506866417,10,0.41937827777777775,0.3392624195661159,0.0004297826979175743,-23.98798152760212,0.000622156078011743,4.086897124196323,0.00141103278039032,12.589319588977055,0.10512386940640477,0.0017651726350494247,182.26964885791142,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b4.5_m0.005_N10.txt
E,Sweep E | beta=4.5 m0=0.01 N=10,4.5,0.01,10,0.12468827930174564,10,0.4193812777777778,0.33979835157132154,0.0003140281479652588,-23.98821236903886,0.0006769072697668179,4.093280293256521,0.0030147978338778726,12.587260661276003,0.10639019584947138,0.0017750932701803036,182.41157155036927,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b4.5_m0.01_N10.txt
E,Sweep E | beta=4.5 m0=0.004 N=10,4.5,0.004,10,0.1248751248751249,10,0.4193883333333333,0.34014711369613965,0.00019904311248608204,-23.988275827794872,0.00047847697733351206,4.098123763285398,0.0036677100520399243,12.589053193285636,0.10674368251355056,0.001772593133781391,182.94150679111482,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b4.5_m0.004_N10.txt
E,Sweep E | beta=6.0 m0=0.002 N=10,6.0,0.002,10,0.12493753123438281,10,0.2508878888888889,0.5806259512855261,0.00023578973422992952,-23.977615629749103,0.0006589686103814202,4.028544373027695,0.003135748289267204,12.588322396709493,0.10932395718513159,0.0019460881601025847,198.4745028893153,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b6.0_m0.002_N10.txt
E,Sweep E | beta=6.0 m0=0.003 N=10,6.0,0.003,10,0.12490632025980514,10,0.2511272222222222,0.583089287589869,0.0003638694282697372,-23.976581363685067,0.0010128579669916038,4.045647607091124,0.003279062664594407,12.587852030090321,0.10920694198901612,0.0019110930929183763,198.488352394104,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b6.0_m0.003_N10.txt
E,Sweep E | beta=6.0 m0=0.004 N=10,6.0,0.004,10,0.1248751248751249,10,0.25021205555555553,0.5815195258943555,0.0005165814099482254,-23.975802791948222,0.0006920730214292747,4.048682904306878,0.004726680280983168,12.588120889990076,0.10860325126486611,0.0018948327761509269,198.50151283740996,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b6.0_m0.004_N10.txt
E,Sweep E | beta=6.0 m0=0.01 N=10,6.0,0.01,10,0.12468827930174564,10,0.25136555555555556,0.5819534216053555,0.0002749174017064694,-23.97750457298951,0.0009373140079328017,4.046891804260309,0.0042191703077630914,12.586479059518165,0.10854458082902345,0.0018972499728052122,198.56020834843318,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b6.0_m0.01_N10.txt
E,Sweep E | beta=6.0 m0=0.001 N=10,6.0,0.001,10,0.12496875781054735,10,0.25105833333333333,0.5813030401716712,0.000392052421903787,-23.976090880719312,0.0006908865776866836,4.049544678740711,0.0034065520696903505,12.590018318747227,0.10819749267670661,0.0018860783236889262,198.56388401587805,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b6.0_m0.001_N10.txt
E,Sweep E | beta=6.0 m0=0.005 N=10,6.0,0.005,10,0.12484394506866417,10,0.2511615555555556,0.5808613765516399,0.00038720766651919594,-23.97778625334709,0.0006886694583136945,4.044390630616947,0.0051836534409052245,12.588571775034648,0.1089211924782825,0.001908682481702438,198.58173858324687,d:\Claude\GA\sweep_results_N10_N12\sweep_results_light\sweep_E_b6.0_m0.005_N10.txt
