sweep,label,beta,m0,N,kappa,n_configs,acceptance,P_mean,P_err,cond_mean,cond_err,meff_mean,meff_err,C0,C1,C2,elapsed_min,outfile
A,Sweep A | beta=4.5 m0=0.2 N=4,4.5,0.2,4,0.11904761904761904,20,0.420498046875,0.3399752650722037,0.0013087332623850315,-23.98683773493538,0.002561180938296403,3.5087710002643107,0.003329625148571711,12.533602058262703,0.09564250347907585,0.002863021738057033,2.8666813214619955,d:\Claude\GA\sweep_results\sweep_A_b4.5_m0.2_N4.txt
A,Sweep A | beta=5.0 m0=0.2 N=4,5.0,0.2,4,0.11904761904761904,20,0.36414306640625,0.3869453602566475,0.0021052573689194836,-23.98831293612714,0.00321214798211301,3.4987790591929304,0.0030325229367850737,12.532330083828473,0.09640300408327566,0.002914804965204679,8.13735780318578,d:\Claude\GA\sweep_results\sweep_A_b5.0_m0.2_N4.txt
A,Sweep A | beta=5.5 m0=0.2 N=4,5.5,0.2,4,0.11904761904761904,20,0.3024951171875,0.4901253901015409,0.0011027563953153634,-23.98516251148637,0.003298317396529866,3.4693509823377005,0.0021642366369512343,12.532382945973696,0.09676132243051104,0.0030128936057027328,20.80106959740321,d:\Claude\GA\sweep_results\sweep_A_b5.5_m0.2_N4.txt
A,Sweep A | beta=5.69 m0=0.2 N=4,5.69,0.2,4,0.11904761904761904,20,0.27913330078125,0.550188650744797,0.001059595625382821,-23.980575069970634,0.0032819018681662206,3.4562317702089738,0.001787293851493068,12.53113150779124,0.09780361524051825,0.003085603163938723,19.782808522383373,d:\Claude\GA\sweep_results\sweep_A_b5.69_m0.2_N4.txt
A,Sweep A | beta=6.0 m0=0.2 N=4,6.0,0.2,4,0.11904761904761904,20,0.25622802734375,0.5709582037075585,0.0017589644515975437,-23.980809739678566,0.002278567602269936,3.4489429577044923,0.0019726292675058626,12.532536624026893,0.09720145460131345,0.003089159082412018,50.4875538667043,d:\Claude\GA\sweep_results\sweep_A_b6.0_m0.2_N4.txt
A,Sweep A | beta=6.5 m0=0.2 N=4,6.5,0.2,4,0.11904761904761904,20,0.220791015625,0.6254650507605095,0.000890367807077168,-23.974206428459137,0.0028957453945312544,3.4581181406234505,0.001963260829943469,12.531412126443838,0.09856606539728414,0.003103850859073282,50.45550691286723,d:\Claude\GA\sweep_results\sweep_A_b6.5_m0.2_N4.txt
B,Sweep B | beta=4.5 m0=0.5 N=4,4.5,0.5,4,0.1111111111111111,20,0.420498046875,0.3399752650722037,0.0013087332623850315,-23.98971199005495,0.0023951472197285256,3.6539414391843317,0.002924027361254024,12.462103403644832,0.08202824376675685,0.002123673017364152,47.76471214294433,d:\Claude\GA\sweep_results\sweep_B_b4.5_m0.5_N4.txt
B,Sweep B | beta=4.5 m0=0.3 N=4,4.5,0.3,4,0.11627906976744186,20,0.4215478515625,0.3379305909676826,0.0018454542938816088,-23.99226141380444,0.0030750151577229835,3.547374396177477,0.0013519083589565398,12.507788802431964,0.09089253353413859,0.002617732091886422,49.29884214798609,d:\Claude\GA\sweep_results\sweep_B_b4.5_m0.3_N4.txt
B,Sweep B | beta=4.5 m0=0.2 N=4,4.5,0.2,4,0.11904761904761904,20,0.42007080078125,0.33350579535831454,0.0017121257074727179,-23.98834744814449,0.0026462714010250126,3.5069985795518894,0.0025571494268608946,12.532749164364654,0.0953190763933893,0.002858339979710055,50.3141681432724,d:\Claude\GA\sweep_results\sweep_B_b4.5_m0.2_N4.txt
B,Sweep B | beta=4.5 m0=0.1 N=4,4.5,0.1,4,0.12195121951219513,20,0.420556640625,0.3371039312114887,0.0012411252897767079,-23.993293932467484,0.003007330304526825,3.457916207545478,0.0030865953124294874,12.560740061102276,0.10129614199419779,0.003190590433322605,19.296635047594705,d:\Claude\GA\sweep_results\sweep_B_b4.5_m0.1_N4.txt
B,Sweep B | beta=6.0 m0=0.5 N=4,6.0,0.5,4,0.1111111111111111,20,0.25622802734375,0.5709582037075585,0.0017589644515975437,-23.985628554921714,0.0020996843886448373,3.602138030352468,0.0017294827191188366,12.461347840880745,0.08317581207539651,0.002267917192346659,49.349428411324816,d:\Claude\GA\sweep_results\sweep_B_b6.0_m0.5_N4.txt
B,Sweep B | beta=6.0 m0=0.3 N=4,6.0,0.3,4,0.11627906976744186,20,0.2563232421875,0.5830398320153013,0.0015526682389766708,-23.98151836340146,0.0022657597810993796,3.5112817855947185,0.0029730363391260992,12.504652138037784,0.09267606053932625,0.0027674349486615335,49.210337885220845,d:\Claude\GA\sweep_results\sweep_B_b6.0_m0.3_N4.txt
B,Sweep B | beta=6.0 m0=0.2 N=4,6.0,0.2,4,0.11904761904761904,20,0.249990234375,0.5885223957725311,0.001729892535745559,-23.982758273046148,0.0026735105386776017,3.449791015889448,0.0018530501653613847,12.531594166630077,0.09773973875079672,0.0031035270893469353,50.5181812842687,d:\Claude\GA\sweep_results\sweep_B_b6.0_m0.2_N4.txt
B,Sweep B | beta=6.0 m0=0.1 N=4,6.0,0.1,4,0.12195121951219513,20,0.2507666015625,0.5911260348578049,0.0010813869583399815,-23.980863021873084,0.0036206525896718368,3.410441550931341,0.002484677576305995,12.563664955606093,0.10354628422831488,0.0034199969356871265,16.504626635710398,d:\Claude\GA\sweep_results\sweep_B_b6.0_m0.1_N4.txt
