sweep,label,beta,m0,N,kappa,n_configs,acceptance,P_mean,P_err,cond_mean,cond_err,meff_mean,meff_err,C0,C1,C2,elapsed_min,outfile
D,Sweep D | beta=6.0 m0=0.02 N=6,6,0.02,6,0.124378109,20,0.2445,0.586404,0.000814,-23.976294,0.001115,nan,nan,nan,nan,nan,nan,d:\Claude\GA\sweep_results_light\sweep_D_b6.0_m0.02_N6.txt
E,Sweep E | beta=4.9 m0=0.1 N=8,4.9,0.1,8,0.12195122,10,0.37240804,0.386998977,0.000389144,-23.98729051,0.001308851,4.123828232,0.00459971,12.55988891,0.102409308,0.001657417,46.06726056,d:\Claude\GA\sweep_results_light\sweep_E_b4.9_m0.1_N8.txt
E,Sweep E | beta=5.0 m0=0.1 N=8,5,0.1,8,0.12195122,10,0.360603706,0.400638541,0.000298284,-23.98711454,0.001101424,4.122883814,0.003286693,12.56023726,0.101426131,0.001642921,46.31178371,d:\Claude\GA\sweep_results_light\sweep_E_b5.0_m0.1_N8.txt
E,Sweep E | beta=4.6 m0=0.1 N=8,4.6,0.1,8,0.12195122,10,0.408495551,0.347832939,0.000277267,-23.98738546,0.000800968,4.140605424,0.003023313,12.56086027,0.100800099,0.001604116,46.33136522,d:\Claude\GA\sweep_results_light\sweep_E_b4.6_m0.1_N8.txt
E,Sweep E | beta=4.7 m0=0.1 N=8,4.7,0.1,8,0.12195122,10,0.395642361,0.362151391,0.000480144,-23.98760631,0.000838485,4.148633828,0.00397196,12.56074787,0.101398977,0.001600781,46.35117697,d:\Claude\GA\sweep_results_light\sweep_E_b4.7_m0.1_N8.txt
E,Sweep E | beta=4.7 m0=0.05 N=8,4.7,0.05,8,0.12345679,10,0.395061849,0.364957987,0.000526439,-23.98691357,0.000763509,4.103981356,0.004890922,12.57427365,0.105311862,0.001738631,46.3984031,d:\Claude\GA\sweep_results_light\sweep_E_b4.7_m0.05_N8.txt
E,Sweep E | beta=4.6 m0=0.05 N=8,4.6,0.05,8,0.12345679,10,0.407856445,0.350011838,0.000238303,-23.98510707,0.001056529,4.107700337,0.00217654,12.57426386,0.104126557,0.001712433,46.40170434,d:\Claude\GA\sweep_results_light\sweep_E_b4.6_m0.05_N8.txt
E,Sweep E | beta=4.7 m0=0.1 N=8,4.7,0.1,8,0.12195122,10,0.396180013,0.36195065,0.000451717,-23.98834733,0.000795277,4.141596274,0.002954937,12.56053594,0.100660121,0.001600314,46.42727032,d:\Claude\GA\sweep_results_light\sweep_E_b4.7_m0.1_N8.txt
E,Sweep E | beta=4.7 m0=0.05 N=8,4.7,0.05,8,0.12345679,10,0.396120334,0.362090851,0.000263302,-23.98495594,0.000792325,4.123449642,0.002595775,12.5759864,0.102565914,0.001660509,46.58649546,d:\Claude\GA\sweep_results_light\sweep_E_b4.7_m0.05_N8.txt
E,Sweep E | beta=4.9 m0=0.05 N=8,4.9,0.05,8,0.12345679,10,0.372589111,0.386796598,0.000423419,-23.9861641,0.001197934,4.108197812,0.003811835,12.57423016,0.103581367,0.001702698,46.61291962,d:\Claude\GA\sweep_results_light\sweep_E_b4.9_m0.05_N8.txt
E,Sweep E | beta=5.0 m0=0.05 N=8,5,0.05,8,0.12345679,10,0.359901259,0.401813984,0.000597696,-23.98461204,0.000983498,4.099262048,0.002265716,12.57473177,0.104416746,0.001731825,46.67561226,d:\Claude\GA\sweep_results_light\sweep_E_b5.0_m0.05_N8.txt
